ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
ABK,Abkhaz,Eurasia,43.056218,41.159115,abkh1244,abk
ALN,Albanian,Eurasia,,,alba1267,sqi
AMH,Amharic,Africa,11.708182,39.543456,amha1245,amh
ABV,Arabic,,,,arab1395,
ARM,Armenian,,,,,
KVA,Bagvalal,Eurasia,42.3966,46.1041,bagv1239,kva
BSQ,Basque,Eurasia,43.2787,-1.31622,basq1248,eus
BNG,Bengali,Eurasia,24.0,90.0,beng1280,ben
BLG,Bulgarian,Eurasia,43.3646,25.047,bulg1262,bul
YUH,Cantonese,Eurasia,23.0118,113.2021,cant1236,
CLN,Catalan,Eurasia,41.453,1.569,stan1289,cat
VMN,Chalcatongo Mixtec,,,,,
NCI,Classical Nahuatl,North America,19.72,-96.97,clas1250,nci
ZOC,Copainalá Zoque,North America,17.2157,-93.3183,copa1236,zoc
DNS,Danish,Eurasia,54.8655,9.36284,dani1285,dan
DUT,Dutch,Eurasia,52.0,5.0,dutc1256,nld
ENG,English,Eurasia,53.0,-1.0,stan1293,eng
FIN,Finnish,Eurasia,64.7628,25.5577,finn1318,fin
FRN,French,Eurasia,48.0,2.0,stan1290,fra
GLI,Guliguli,Papunesia,-8.10266,157.564,guli1244,gli
GER,German,Eurasia,48.649,12.4676,stan1295,deu
GRK,Greek,,,,gree1276,
GJR,Gujarati,Eurasia,22.687,71.0962,guja1252,guj
HBR,Hebrew,,,,,
HND,Hindi,Eurasia,25.0,77.0,hind1269,hin
HNG,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun
ISL,Icelandic,Eurasia,63.4837,-19.0212,icel1247,isl
INZ,Riau Indonesian,Papunesia,,,riau1236,
ITN,Italian,Eurasia,43.0464,12.6489,ital1282,ita
JPN,Japanese,Eurasia,35.0,135.0,nucl1643,jpn
KJV,Kannada,Eurasia,13.5878,76.1198,nucl1305,kan
BTX,Batak Karo,Papunesia,2.12787,98.2517,bata1293,btx
KSH,Kashmiri,Eurasia,34.166825,74.330455,kash1277,kas
KIN,Kinyarwanda,Africa,-1.56771,29.6441,kiny1244,kin
KKN,Korean,Eurasia,37.54,126.98,kore1280,kor
KHQ,Koyra Chiini,Africa,,,koyr1241,
LTN,Latin,Eurasia,41.9026,12.4502,lati1261,lat
LIT,Lithuanian,Eurasia,55.1429,23.9601,lith1251,lit
MEX,Malagasy,,,,,
MJS,Malayalam,Eurasia,9.59208,76.7651,mala1464,mal
MLS,Maltese,Eurasia,35.8884,14.4508,malt1254,mlt
CHN,Mandarin Chinese,Eurasia,40.0209,116.228,mand1415,cmn
MBF,Maori,Papunesia,-38.2881,176.541,maor1246,mri
OTA,Mezquital Otomi,North America,20.2274,-99.5564,mezq1235,ote
BRT,Breton,Eurasia,48.2452,-3.78934,bret1244,bre
